FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57710378.21658261', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-11-29 20:50:04: LOAD (from file 'img/img-3c268.1-final-sources.txt')
# 2024-11-29 20:50:04: GROUP (algorithm = 'single')
# 2024-11-29 20:50:04: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 20:50:04: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 20:50:05: GROUP (algorithm = 'meanshift')
# 2024-11-29 20:50:05: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 20:50:05: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 20:50:05: FILTER (Patch = Patch_22 None)
# 2024-11-29 20:50:05: SETPATCHPOSITIONS (method = 'mid')

 , , 3c268.1, 12:00:44.7890, 73.00.39.4854
s0c245, POINT, 3c268.1, 12:01:41.677, 72.55.28.637, 0.04956033, [-0.7], false, 57710378.21658261, 0.0, 0.0, 0.0
s0c246, POINT, 3c268.1, 12:01:42.134, 72.55.30.626, 0.02143519, [-0.7], false, 57710378.21658261, 0.0, 0.0, 0.0
s0c248, POINT, 3c268.1, 12:01:42.136, 72.55.32.626, 0.02084425, [-0.7], false, 57710378.21658261, 0.0, 0.0, 0.0
s0c249, POINT, 3c268.1, 12:01:42.139, 72.55.34.626, 0.01401379, [-0.7], false, 57710378.21658261, 0.0, 0.0, 0.0
s0c250, POINT, 3c268.1, 12:01:42.595, 72.55.36.615, 0.02291267, [-0.7], false, 57710378.21658261, 0.0, 0.0, 0.0
s0c251, POINT, 3c268.1, 12:01:42.6, 72.55.40.615, 0.02093979, [-0.7], false, 57710378.21658261, 0.0, 0.0, 0.0
s0c252, POINT, 3c268.1, 12:01:43.057, 72.55.42.604, 0.05439613, [-0.7], false, 57710378.21658261, 0.0, 0.0, 0.0
s0c354, POINT, 3c268.1, 12:00:24.026, 73.00.37.55, 0.2182961, [-0.7], false, 57710378.21658261, 0.0, 0.0, 0.0
