FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57717238.7710191', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-11-29 23:48:53: LOAD (from file 'img/img-3c68.2-final-sources.txt')
# 2024-11-29 23:48:53: GROUP (algorithm = 'single')
# 2024-11-29 23:48:53: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:48:53: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:48:54: GROUP (algorithm = 'meanshift')
# 2024-11-29 23:48:54: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:48:54: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:48:54: FILTER (Patch = Patch_19 None)
# 2024-11-29 23:48:54: SETPATCHPOSITIONS (method = 'mid')

 , , 3c68.2, 2:34:14.0296, 31.34.19.4312
s0c253, POINT, 3c68.2, 2:34:31.389, 31.24.38.436, 0.01817526, [-0.7], false, 57717238.7710191, 0.0, 0.0, 0.0
s0c254, POINT, 3c68.2, 2:34:31.233, 31.24.40.436, 0.01209258, [-0.7], false, 57717238.7710191, 0.0, 0.0, 0.0
s0c255, POINT, 3c68.2, 2:34:31.233, 31.24.42.436, 0.004257997, [-0.7], false, 57717238.7710191, 0.0, 0.0, 0.0
s0c256, POINT, 3c68.2, 2:34:31.077, 31.24.42.437, 0.01720102, [-0.7], false, 57717238.7710191, 0.0, 0.0, 0.0
s0c271, POINT, 3c68.2, 2:34:04.815, 31.29.02.361, 0.03500709, [-0.7], false, 57717238.7710191, 0.0, 0.0, 0.0
s0c272, POINT, 3c68.2, 2:34:04.815, 31.29.04.361, 0.006535379, [-0.7], false, 57717238.7710191, 0.0, 0.0, 0.0
s0c273, POINT, 3c68.2, 2:34:04.659, 31.29.04.36, 0.007879258, [-0.7], false, 57717238.7710191, 0.0, 0.0, 0.0
s0c274, POINT, 3c68.2, 2:34:06.691, 31.29.06.378, 0.02693166, [-0.7], false, 57717238.7710191, 0.0, 0.0, 0.0
