FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57699951.21582393', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-11-29 20:19:03: LOAD (from file 'img/img-3c220.3-final-sources.txt')
# 2024-11-29 20:19:03: GROUP (algorithm = 'single')
# 2024-11-29 20:19:03: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 20:19:03: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 20:19:04: GROUP (algorithm = 'meanshift')
# 2024-11-29 20:19:04: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 20:19:04: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 20:19:04: FILTER (Patch = Patch_16 None)
# 2024-11-29 20:19:04: SETPATCHPOSITIONS (method = 'mid')

 , , 3c220.3, 9:40:56.3869, 83.14.23.6507
s0c279, POINT, 3c220.3, 9:41:55.855, 83.06.58.662, 0.04426166, [-0.7], false, 57699951.21582393, 0.0, 0.0, 0.0
s0c280, POINT, 3c220.3, 9:41:55.867, 83.07.00.661, 0.01683572, [-0.7], false, 57699951.21582393, 0.0, 0.0, 0.0
s0c321, POINT, 3c220.3, 9:45:10.613, 83.15.00.498, 0.008765831, [-0.7], false, 57699951.21582393, 0.0, 0.0, 0.0
s0c322, POINT, 3c220.3, 9:45:09.478, 83.15.00.548, 0.007949263, [-0.7], false, 57699951.21582393, 0.0, 0.0, 0.0
s0c323, POINT, 3c220.3, 9:39:21.175, 83.15.08.17, 0.2065724, [-0.7], false, 57699951.21582393, 0.0, 0.0, 0.0
s0c324, POINT, 3c220.3, 9:45:09.507, 83.15.02.547, 0.01994071, [-0.7], false, 57699951.21582393, 0.0, 0.0, 0.0
s0c325, POINT, 3c220.3, 9:39:21.175, 83.15.10.17, 0.1148998, [-0.7], false, 57699951.21582393, 0.0, 0.0, 0.0
s0c326, POINT, 3c220.3, 9:39:17.77, 83.15.12.168, 0.1066572, [-0.7], false, 57699951.21582393, 0.0, 0.0, 0.0
