FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57698074.2974564', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-11-29 18:59:55: LOAD (from file 'img/img-3c13-final-sources.txt')
# 2024-11-29 18:59:55: GROUP (algorithm = 'single')
# 2024-11-29 18:59:55: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 18:59:55: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 18:59:56: GROUP (algorithm = 'meanshift')
# 2024-11-29 18:59:56: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 18:59:56: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 18:59:56: FILTER (Patch = Patch_32 None)
# 2024-11-29 18:59:56: SETPATCHPOSITIONS (method = 'mid')

 , , 3c13, 0:34:05.6007, 39.22.12.0088
s0c266, POINT, 3c13, 0:34:24.723, 39.12.10.601, 0.03548268, [-0.7], false, 57698074.2974564, 0.0, 0.0, 0.0
s0c267, POINT, 3c13, 0:34:14.915, 39.12.24.629, 0.01608847, [-0.7], false, 57698074.2974564, 0.0, 0.0, 0.0
s0c268, POINT, 3c13, 0:34:14.915, 39.12.26.629, 0.02202408, [-0.7], false, 57698074.2974564, 0.0, 0.0, 0.0
s0c269, POINT, 3c13, 0:34:15.776, 39.12.34.628, 0.01222097, [-0.7], false, 57698074.2974564, 0.0, 0.0, 0.0
s0c270, POINT, 3c13, 0:34:15.603, 39.12.34.628, 0.02420503, [-0.7], false, 57698074.2974564, 0.0, 0.0, 0.0
s0c284, POINT, 3c13, 0:34:41.085, 39.14.50.441, 0.006782789, [-0.7], false, 57698074.2974564, 0.0, 0.0, 0.0
s0c285, POINT, 3c13, 0:34:40.913, 39.14.50.443, 0.006693339, [-0.7], false, 57698074.2974564, 0.0, 0.0, 0.0
s0c287, POINT, 3c13, 0:34:40.741, 39.14.52.446, 0.02546802, [-0.7], false, 57698074.2974564, 0.0, 0.0, 0.0
