FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57711538.65848182', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-11-29 21:28:27: LOAD (from file 'img/img-3c318-final-sources.txt')
# 2024-11-29 21:28:27: GROUP (algorithm = 'single')
# 2024-11-29 21:28:28: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 21:28:28: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 21:28:28: GROUP (algorithm = 'meanshift')
# 2024-11-29 21:28:28: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 21:28:28: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 21:28:28: FILTER (Patch = Patch_12 None)
# 2024-11-29 21:28:28: SETPATCHPOSITIONS (method = 'mid')

 , , 3c318, 15:20:03.2156, 20.14.17.5798
s0c236, POINT, 3c318, 15:19:36.08, 20.12.19.557, 0.0151486, [-0.7], false, 57711538.65848182, 0.0, 0.0, 0.0
s0c237, POINT, 3c318, 15:19:35.938, 20.12.21.555, 0.03384763, [-0.7], false, 57711538.65848182, 0.0, 0.0, 0.0
s0c238, POINT, 3c318, 15:20:27.086, 20.12.39.627, 0.01889015, [-0.7], false, 57711538.65848182, 0.0, 0.0, 0.0
s0c239, POINT, 3c318, 15:20:26.944, 20.12.39.628, 0.01042561, [-0.7], false, 57711538.65848182, 0.0, 0.0, 0.0
s0c240, POINT, 3c318, 15:20:27.087, 20.12.41.627, 0.01091179, [-0.7], false, 57711538.65848182, 0.0, 0.0, 0.0
s0c241, POINT, 3c318, 15:20:26.944, 20.12.41.628, 0.01234795, [-0.7], false, 57711538.65848182, 0.0, 0.0, 0.0
s0c242, POINT, 3c318, 15:20:26.803, 20.12.45.629, 0.03454175, [-0.7], false, 57711538.65848182, 0.0, 0.0, 0.0
s0c243, POINT, 3c318, 15:20:46.56, 20.14.31.411, 0.03095827, [-0.7], false, 57711538.65848182, 0.0, 0.0, 0.0
s0c244, POINT, 3c318, 15:19:20.015, 20.14.33.343, 0.0148392, [-0.7], false, 57711538.65848182, 0.0, 0.0, 0.0
s0c245, POINT, 3c318, 15:19:19.872, 20.14.33.341, 0.02299382, [-0.7], false, 57711538.65848182, 0.0, 0.0, 0.0
s0c248, POINT, 3c318, 15:20:05.49, 20.15.51.71, 0.07258149, [-0.7], false, 57711538.65848182, 0.0, 0.0, 0.0
s0c249, POINT, 3c318, 15:20:05.632, 20.15.53.71, 0.1154662, [-0.7], false, 57711538.65848182, 0.0, 0.0, 0.0
s0c250, POINT, 3c318, 15:20:05.49, 20.15.53.71, 0.04013236, [-0.7], false, 57711538.65848182, 0.0, 0.0, 0.0
s0c251, POINT, 3c318, 15:20:05.206, 20.16.01.71, 0.188024, [-0.7], false, 57711538.65848182, 0.0, 0.0, 0.0
s0c252, POINT, 3c318, 15:20:05.064, 20.16.01.71, 0.1205428, [-0.7], false, 57711538.65848182, 0.0, 0.0, 0.0
s0c253, POINT, 3c318, 15:20:05.632, 20.16.03.71, 6.156737, [-0.7], false, 57711538.65848182, 0.0, 0.0, 0.0
s0c254, POINT, 3c318, 15:20:05.49, 20.16.03.71, 6.513368, [-0.7], false, 57711538.65848182, 0.0, 0.0, 0.0
s0c255, POINT, 3c318, 15:20:05.348, 20.16.03.71, 0.05016116, [-0.7], false, 57711538.65848182, 0.0, 0.0, 0.0
s0c256, POINT, 3c318, 15:20:05.774, 20.16.05.71, 0.2800156, [-0.7], false, 57711538.65848182, 0.0, 0.0, 0.0
s0c257, POINT, 3c318, 15:20:05.632, 20.16.05.71, 2.109004, [-0.7], false, 57711538.65848182, 0.0, 0.0, 0.0
s0c258, POINT, 3c318, 15:20:05.49, 20.16.05.71, 9.419564, [-0.7], false, 57711538.65848182, 0.0, 0.0, 0.0
s0c259, POINT, 3c318, 15:20:05.916, 20.16.07.71, 0.1090243, [-0.7], false, 57711538.65848182, 0.0, 0.0, 0.0
s0c260, POINT, 3c318, 15:20:05.774, 20.16.07.71, 0.03083996, [-0.7], false, 57711538.65848182, 0.0, 0.0, 0.0
s0c261, POINT, 3c318, 15:20:04.637, 20.16.13.71, -0.05508338, [-0.7], false, 57711538.65848182, 0.0, 0.0, 0.0
s0c262, POINT, 3c318, 15:20:05.49, 20.16.15.71, 0.2011133, [-0.7], false, 57711538.65848182, 0.0, 0.0, 0.0
s0c263, POINT, 3c318, 15:20:04.637, 20.16.15.71, -0.03374021, [-0.7], false, 57711538.65848182, 0.0, 0.0, 0.0
