FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57726471.12587729', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-11-29 23:49:55: LOAD (from file 'img/img-3c9-final-sources.txt')
# 2024-11-29 23:49:55: GROUP (algorithm = 'single')
# 2024-11-29 23:49:55: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:49:55: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:49:56: GROUP (algorithm = 'meanshift')
# 2024-11-29 23:49:56: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:49:56: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:49:56: FILTER (Patch = Patch_15 None)
# 2024-11-29 23:49:56: SETPATCHPOSITIONS (method = 'mid')

 , , 3c9, 0:20:48.5561, 15.41.09.8574
s0c156, POINT, 3c9, 0:20:25.774, 15.40.36.94, 0.3189945, [-0.7], false, 57726471.12587729, 0.0, 0.0, 0.0
s0c157, POINT, 3c9, 0:20:25.912, 15.40.38.94, 0.07058037, [-0.7], false, 57726471.12587729, 0.0, 0.0, 0.0
s0c158, POINT, 3c9, 0:20:26.051, 15.40.40.94, 0.3493069, [-0.7], false, 57726471.12587729, 0.0, 0.0, 0.0
s0c159, POINT, 3c9, 0:20:25.912, 15.40.40.94, -0.2735659, [-0.7], false, 57726471.12587729, 0.0, 0.0, 0.0
s0c160, POINT, 3c9, 0:20:25.912, 15.40.42.94, 0.3314361, [-0.7], false, 57726471.12587729, 0.0, 0.0, 0.0
s0c161, POINT, 3c9, 0:20:25.912, 15.40.44.94, 0.1339527, [-0.7], false, 57726471.12587729, 0.0, 0.0, 0.0
s0c162, POINT, 3c9, 0:20:25.774, 15.40.44.94, 0.4200574, [-0.7], false, 57726471.12587729, 0.0, 0.0, 0.0
s0c163, POINT, 3c9, 0:20:26.189, 15.40.46.94, 0.2698187, [-0.7], false, 57726471.12587729, 0.0, 0.0, 0.0
