FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57714978.24591427', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-11-30 00:27:54: LOAD (from file 'img/img-ngc7385-final-sources.txt')
# 2024-11-30 00:27:54: GROUP (algorithm = 'single')
# 2024-11-30 00:27:54: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-30 00:27:55: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-30 00:28:58: GROUP (algorithm = 'meanshift')
# 2024-11-30 00:29:02: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-30 00:29:06: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-30 00:29:07: FILTER (Patch = Patch_122 None)
# 2024-11-30 00:29:07: SETPATCHPOSITIONS (method = 'mid')

 , , ngc7385, 22:50:02.4584, 11.34.07.4926
s0c1220, POINT, ngc7385, 22:49:19.897, 11.16.54.434, 0.02189686, [-0.7], false, 57714978.24591427, 0.0, 0.0, 0.0
s0c1767, POINT, ngc7385, 22:50:04.496, 11.23.16.557, 0.0258765, [-0.7], false, 57714978.24591427, 0.0, 0.0, 0.0
s4c131, GAUSSIAN, ngc7385, 22:49:49.673, 11.13.14.557, -0.2640507, [-0.7], false, 57714978.24591427, 105.9669020263927, 105.9669020263927, 0
s4c159, GAUSSIAN, ngc7385, 22:49:12.009, 11.17.56.37, -0.2551762, [-0.7], false, 57714978.24591427, 105.9669020263927, 105.9669020263927, 0
s5c337, GAUSSIAN, ngc7385, 22:51:04.486, 11.57.44.053, -0.01997019, [-0.7], false, 57714978.24591427, 211.9338040527854, 211.9338040527854, 0
s5c338, GAUSSIAN, ngc7385, 22:51:04.486, 11.57.48.053, -0.04414126, [-0.7], false, 57714978.24591427, 211.9338040527854, 211.9338040527854, 0
s5c52, GAUSSIAN, ngc7385, 22:49:00.611, 11.10.26.241, -0.2640083, [-0.7], false, 57714978.24591427, 211.9338040527854, 211.9338040527854, 0
s5c53, GAUSSIAN, ngc7385, 22:49:40.568, 11.10.36.534, -0.03830257, [-0.7], false, 57714978.24591427, 211.9338040527854, 211.9338040527854, 0
s5c58, GAUSSIAN, ngc7385, 22:49:49.13, 11.12.02.554, -0.7905585, [-0.7], false, 57714978.24591427, 211.9338040527854, 211.9338040527854, 0
s5c76, GAUSSIAN, ngc7385, 22:49:44.506, 11.16.54.553, -0.1710662, [-0.7], false, 57714978.24591427, 211.9338040527854, 211.9338040527854, 0
s5c82, GAUSSIAN, ngc7385, 22:49:12.009, 11.17.56.37, -0.2531964, [-0.7], false, 57714978.24591427, 211.9338040527854, 211.9338040527854, 0
s5c88, GAUSSIAN, ngc7385, 22:49:58.51, 11.18.54.564, -0.4826699, [-0.7], false, 57714978.24591427, 211.9338040527854, 211.9338040527854, 0
s5c98, GAUSSIAN, ngc7385, 22:49:51.711, 11.21.04.566, -0.3888209, [-0.7], false, 57714978.24591427, 211.9338040527854, 211.9338040527854, 0
s5c99, GAUSSIAN, ngc7385, 22:49:51.847, 11.21.06.566, -0.1401694, [-0.7], false, 57714978.24591427, 211.9338040527854, 211.9338040527854, 0
