FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57679832.19441591', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-12-09 19:52:25: LOAD (from file 'img/img-ngc6109-final-taper25arcsec-sources.txt')
# 2024-12-09 19:52:25: GROUP (algorithm = 'single')
# 2024-12-09 19:52:26: SETPATCHPOSITIONS (method = 'mid')
# 2024-12-09 19:52:26: SETPATCHPOSITIONS (method = 'mid')
# 2024-12-09 19:52:30: GROUP (algorithm = 'meanshift')
# 2024-12-09 19:52:31: SETPATCHPOSITIONS (method = 'mid')
# 2024-12-09 19:52:31: SETPATCHPOSITIONS (method = 'mid')
# 2024-12-09 19:52:31: FILTER (Patch = Patch_50 None)
# 2024-12-09 19:52:32: SETPATCHPOSITIONS (method = 'mid')

 , , ngc6109, 16:17:50.1083, 35.03.55.6504
s0c383, POINT, ngc6109, 16:17:20.079, 34.54.05.612, 0.01487734, [-0.7], false, 57679832.19441591, 0.0, 0.0, 0.0
s0c386, POINT, ngc6109, 16:17:20.078, 34.54.07.612, 0.1202857, [-0.7], false, 57679832.19441591, 0.0, 0.0, 0.0
s0c387, POINT, ngc6109, 16:17:19.916, 34.54.07.61, 0.08535345, [-0.7], false, 57679832.19441591, 0.0, 0.0, 0.0
s0c445, POINT, ngc6109, 16:17:40.563, 35.00.13.72, 0.185513, [-0.7], false, 57679832.19441591, 0.0, 0.0, 0.0
s0c446, POINT, ngc6109, 16:17:40.4, 35.00.15.72, 0.01994809, [-0.7], false, 57679832.19441591, 0.0, 0.0, 0.0
s0c447, POINT, ngc6109, 16:17:40.4, 35.00.17.72, 0.04828157, [-0.7], false, 57679832.19441591, 0.0, 0.0, 0.0
s0c448, POINT, ngc6109, 16:17:40.4, 35.00.19.72, 0.1166978, [-0.7], false, 57679832.19441591, 0.0, 0.0, 0.0
s0c449, POINT, ngc6109, 16:17:40.237, 35.00.19.72, 0.02931406, [-0.7], false, 57679832.19441591, 0.0, 0.0, 0.0
