FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57722929.74467745', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-11-29 23:40:45: LOAD (from file 'img/img-3c98-final-sources.txt')
# 2024-11-29 23:40:45: GROUP (algorithm = 'single')
# 2024-11-29 23:40:45: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:40:45: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:40:45: GROUP (algorithm = 'meanshift')
# 2024-11-29 23:40:45: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:40:45: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:40:45: FILTER (Patch = Patch_6 None)
# 2024-11-29 23:40:45: SETPATCHPOSITIONS (method = 'mid')

 , , 3c98, 3:58:53.2794, 10.25.46.8103
s0c114, POINT, 3c98, 3:58:51.043, 10.23.32.809, 0.1669034, [-0.7], false, 57722929.74467745, 0.0, 0.0, 0.0
s0c115, POINT, 3c98, 3:58:50.908, 10.23.36.809, 0.2668887, [-0.7], false, 57722929.74467745, 0.0, 0.0, 0.0
s0c116, POINT, 3c98, 3:58:51.585, 10.23.38.809, -0.05745716, [-0.7], false, 57722929.74467745, 0.0, 0.0, 0.0
s0c117, POINT, 3c98, 3:58:50.772, 10.23.38.809, 0.3926881, [-0.7], false, 57722929.74467745, 0.0, 0.0, 0.0
s0c118, POINT, 3c98, 3:58:50.907, 10.23.40.809, 0.765316, [-0.7], false, 57722929.74467745, 0.0, 0.0, 0.0
s0c119, POINT, 3c98, 3:58:50.636, 10.23.40.809, 0.1142516, [-0.7], false, 57722929.74467745, 0.0, 0.0, 0.0
s0c120, POINT, 3c98, 3:58:50.772, 10.23.42.809, 0.1494154, [-0.7], false, 57722929.74467745, 0.0, 0.0, 0.0
s0c121, POINT, 3c98, 3:58:50.365, 10.23.42.808, 0.2906688, [-0.7], false, 57722929.74467745, 0.0, 0.0, 0.0
