FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57701908.29747491', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-11-29 21:29:08: LOAD (from file 'img/img-3c293-final-sources.txt')
# 2024-11-29 21:29:08: GROUP (algorithm = 'single')
# 2024-11-29 21:29:08: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 21:29:08: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 21:30:05: GROUP (algorithm = 'meanshift')
# 2024-11-29 21:30:08: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 21:30:12: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 21:30:13: FILTER (Patch = Patch_5 None)
# 2024-11-29 21:30:13: SETPATCHPOSITIONS (method = 'mid')

 , , 3c293, 13:51:58.4689, 31.25.58.8346
s0c1005, POINT, 3c293, 13:50:37.401, 31.03.47.953, 0.008674522, [-0.7], false, 57701908.29747491, 0.0, 0.0, 0.0
s0c2902, POINT, 3c293, 13:52:45.688, 31.40.48.234, 0.02721831, [-0.7], false, 57701908.29747491, 0.0, 0.0, 0.0
s0c2915, POINT, 3c293, 13:52:59.478, 31.41.04.002, 0.01899582, [-0.7], false, 57701908.29747491, 0.0, 0.0, 0.0
s0c2916, POINT, 3c293, 13:52:37.228, 31.41.04.331, 0.02250651, [-0.7], false, 57701908.29747491, 0.0, 0.0, 0.0
s0c2919, POINT, 3c293, 13:53:15.774, 31.41.09.609, 0.01277928, [-0.7], false, 57701908.29747491, 0.0, 0.0, 0.0
s0c2922, POINT, 3c293, 13:53:15.775, 31.41.11.609, 0.01886394, [-0.7], false, 57701908.29747491, 0.0, 0.0, 0.0
s0c2936, POINT, 3c293, 13:53:01.047, 31.41.23.97, 0.02092575, [-0.7], false, 57701908.29747491, 0.0, 0.0, 0.0
s0c2945, POINT, 3c293, 13:53:11.704, 31.41.33.719, 0.02177128, [-0.7], false, 57701908.29747491, 0.0, 0.0, 0.0
s0c2946, POINT, 3c293, 13:52:38.954, 31.41.34.314, 0.02251448, [-0.7], false, 57701908.29747491, 0.0, 0.0, 0.0
s0c2978, POINT, 3c293, 13:52:36.291, 31.42.02.34, 0.021041, [-0.7], false, 57701908.29747491, 0.0, 0.0, 0.0
s0c2988, POINT, 3c293, 13:52:48.673, 31.42.18.192, 0.02385928, [-0.7], false, 57701908.29747491, 0.0, 0.0, 0.0
s0c3004, POINT, 3c293, 13:53:20.023, 31.42.47.486, 0.02610185, [-0.7], false, 57701908.29747491, 0.0, 0.0, 0.0
s0c3005, POINT, 3c293, 13:53:16.262, 31.42.51.596, 0.02448017, [-0.7], false, 57701908.29747491, 0.0, 0.0, 0.0
s0c3009, POINT, 3c293, 13:52:43.504, 31.42.56.264, 0.01509891, [-0.7], false, 57701908.29747491, 0.0, 0.0, 0.0
s0c3014, POINT, 3c293, 13:52:51.029, 31.43.06.156, 0.02426877, [-0.7], false, 57701908.29747491, 0.0, 0.0, 0.0
s0c3031, POINT, 3c293, 13:52:50.718, 31.43.34.162, 0.009247209, [-0.7], false, 57701908.29747491, 0.0, 0.0, 0.0
s0c3033, POINT, 3c293, 13:52:50.718, 31.43.36.162, 0.01648065, [-0.7], false, 57701908.29747491, 0.0, 0.0, 0.0
s0c3057, POINT, 3c293, 13:52:46.802, 31.44.10.221, 0.03215284, [-0.7], false, 57701908.29747491, 0.0, 0.0, 0.0
s0c3062, POINT, 3c293, 13:53:12.201, 31.44.17.708, 0.01621701, [-0.7], false, 57701908.29747491, 0.0, 0.0, 0.0
s0c3128, POINT, 3c293, 13:53:06.881, 31.45.25.843, 0.03897072, [-0.7], false, 57701908.29747491, 0.0, 0.0, 0.0
s0c3152, POINT, 3c293, 13:53:05.787, 31.45.55.869, 0.02106807, [-0.7], false, 57701908.29747491, 0.0, 0.0, 0.0
s0c3154, POINT, 3c293, 13:53:00.142, 31.45.57.992, 0.01820675, [-0.7], false, 57701908.29747491, 0.0, 0.0, 0.0
s0c3176, POINT, 3c293, 13:53:02.498, 31.46.25.943, 0.01796082, [-0.7], false, 57701908.29747491, 0.0, 0.0, 0.0
s0c3231, POINT, 3c293, 13:53:00.629, 31.48.05.985, 0.005150458, [-0.7], false, 57701908.29747491, 0.0, 0.0, 0.0
s1c400, GAUSSIAN, 3c293, 13:52:43.504, 31.42.56.264, 0.02428321, [-0.7], false, 57701908.29747491, 13.24586275329909, 13.24586275329909, 0
s1c407, GAUSSIAN, 3c293, 13:53:12.044, 31.44.17.712, 0.02149994, [-0.7], false, 57701908.29747491, 13.24586275329909, 13.24586275329909, 0
s1c438, GAUSSIAN, 3c293, 13:53:00.776, 31.46.49.98, 0.03754983, [-0.7], false, 57701908.29747491, 13.24586275329909, 13.24586275329909, 0
s1c446, GAUSSIAN, 3c293, 13:53:00.472, 31.48.05.988, 0.0270894, [-0.7], false, 57701908.29747491, 13.24586275329909, 13.24586275329909, 0
s2c1012, GAUSSIAN, 3c293, 13:53:04.077, 31.47.39.91, 0.01376685, [-0.7], false, 57701908.29747491, 26.49172550659818, 26.49172550659818, 0
s2c1015, GAUSSIAN, 3c293, 13:53:00.315, 31.48.07.991, 0.02194402, [-0.7], false, 57701908.29747491, 26.49172550659818, 26.49172550659818, 0
