FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57718491.70236171', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-11-29 19:35:05: LOAD (from file 'img/img-3c207-final-sources.txt')
# 2024-11-29 19:35:05: GROUP (algorithm = 'single')
# 2024-11-29 19:35:05: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 19:35:05: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 19:35:05: GROUP (algorithm = 'meanshift')
# 2024-11-29 19:35:05: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 19:35:05: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 19:35:06: FILTER (Patch = Patch_26 None)
# 2024-11-29 19:35:06: SETPATCHPOSITIONS (method = 'mid')

 , , 3c207, 8:40:46.8336, 13.13.46.4767
s0c217, POINT, 3c207, 8:40:58.264, 13.04.55.466, 0.04928904, [-0.7], false, 57718491.70236171, 0.0, 0.0, 0.0
s0c218, POINT, 3c207, 8:40:58.264, 13.04.57.466, 0.006521808, [-0.7], false, 57718491.70236171, 0.0, 0.0, 0.0
s0c219, POINT, 3c207, 8:41:21.535, 13.05.01.34, 0.05091525, [-0.7], false, 57718491.70236171, 0.0, 0.0, 0.0
s0c220, POINT, 3c207, 8:40:58.127, 13.05.03.466, 0.005016558, [-0.7], false, 57718491.70236171, 0.0, 0.0, 0.0
s0c221, POINT, 3c207, 8:40:58.127, 13.05.05.466, 0.03259106, [-0.7], false, 57718491.70236171, 0.0, 0.0, 0.0
s0c222, POINT, 3c207, 8:41:21.262, 13.05.09.342, 0.02429258, [-0.7], false, 57718491.70236171, 0.0, 0.0, 0.0
s0c223, POINT, 3c207, 8:40:54.568, 13.05.21.474, 0.06859935, [-0.7], false, 57718491.70236171, 0.0, 0.0, 0.0
s0c264, POINT, 3c207, 8:40:48.409, 13.12.15.48, 0.02466093, [-0.7], false, 57718491.70236171, 0.0, 0.0, 0.0
