FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57709757.60502627', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-12-10 10:25:54: LOAD (from file 'img/img-3c351-final-sources.txt')
# 2024-12-10 10:25:54: GROUP (algorithm = 'single')
# 2024-12-10 10:25:54: SETPATCHPOSITIONS (method = 'mid')
# 2024-12-10 10:25:54: SETPATCHPOSITIONS (method = 'mid')
# 2024-12-10 10:25:55: GROUP (algorithm = 'meanshift')
# 2024-12-10 10:25:55: SETPATCHPOSITIONS (method = 'mid')
# 2024-12-10 10:25:55: SETPATCHPOSITIONS (method = 'mid')
# 2024-12-10 10:25:55: FILTER (Patch = Patch_15 None)
# 2024-12-10 10:25:55: SETPATCHPOSITIONS (method = 'mid')

 , , 3c351, 17:03:50.9871, 60.41.06.0758
s0c176, POINT, 3c351, 17:04:19.615, 60.37.06.379, 0.05137335, [-0.7], false, 57709757.60502627, 0.0, 0.0, 0.0
s0c179, POINT, 3c351, 17:04:19.615, 60.37.08.379, 0.01955873, [-0.7], false, 57709757.60502627, 0.0, 0.0, 0.0
s0c182, POINT, 3c351, 17:04:19.614, 60.37.10.379, 0.008517941, [-0.7], false, 57709757.60502627, 0.0, 0.0, 0.0
s0c183, POINT, 3c351, 17:04:19.342, 60.37.10.377, 0.03814671, [-0.7], false, 57709757.60502627, 0.0, 0.0, 0.0
s0c184, POINT, 3c351, 17:04:18.798, 60.37.12.371, 0.02169273, [-0.7], false, 57709757.60502627, 0.0, 0.0, 0.0
s0c185, POINT, 3c351, 17:04:18.527, 60.37.12.368, 0.02907652, [-0.7], false, 57709757.60502627, 0.0, 0.0, 0.0
s0c186, POINT, 3c351, 17:04:17.711, 60.37.12.359, 0.07093289, [-0.7], false, 57709757.60502627, 0.0, 0.0, 0.0
s0c187, POINT, 3c351, 17:04:17.44, 60.37.12.356, 0.07594922, [-0.7], false, 57709757.60502627, 0.0, 0.0, 0.0
