FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57709626.94424778', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-11-29 22:28:48: LOAD (from file 'img/img-3c390.3-final-sources.txt')
# 2024-11-29 22:28:48: GROUP (algorithm = 'single')
# 2024-11-29 22:28:48: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 22:28:48: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 22:28:48: GROUP (algorithm = 'meanshift')
# 2024-11-29 22:28:48: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 22:28:48: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 22:28:48: FILTER (Patch = Patch_2 None)
# 2024-11-29 22:28:48: SETPATCHPOSITIONS (method = 'mid')

 , , 3c390.3, 18:43:32.9181, 79.47.49.4007
s0c104, POINT, 3c390.3, 18:42:35.923, 79.45.31.13, 0.0684799, [-0.7], false, 57709626.94424778, 0.0, 0.0, 0.0
s0c105, POINT, 3c390.3, 18:42:21.675, 79.45.31.184, 0.2119917, [-0.7], false, 57709626.94424778, 0.0, 0.0, 0.0
s0c108, POINT, 3c390.3, 18:42:23.175, 79.45.33.181, 0.1158299, [-0.7], false, 57709626.94424778, 0.0, 0.0, 0.0
s0c109, POINT, 3c390.3, 18:42:34.426, 79.45.35.138, 0.2500212, [-0.7], false, 57709626.94424778, 0.0, 0.0, 0.0
s0c110, POINT, 3c390.3, 18:42:20.926, 79.45.35.186, -0.132817, [-0.7], false, 57709626.94424778, 0.0, 0.0, 0.0
s0c111, POINT, 3c390.3, 18:42:20.177, 79.45.37.188, 0.1813922, [-0.7], false, 57709626.94424778, 0.0, 0.0, 0.0
s0c112, POINT, 3c390.3, 18:42:35.932, 79.45.43.13, 0.1121089, [-0.7], false, 57709626.94424778, 0.0, 0.0, 0.0
s0c113, POINT, 3c390.3, 18:42:35.182, 79.45.43.134, -0.06839618, [-0.7], false, 57709626.94424778, 0.0, 0.0, 0.0
