FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57716192.61654488', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-11-29 23:36:12: LOAD (from file 'img/img-3c6.1-final-sources.txt')
# 2024-11-29 23:36:13: GROUP (algorithm = 'single')
# 2024-11-29 23:36:13: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:36:13: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:36:13: GROUP (algorithm = 'meanshift')
# 2024-11-29 23:36:13: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:36:13: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:36:13: FILTER (Patch = Patch_17 None)
# 2024-11-29 23:36:13: SETPATCHPOSITIONS (method = 'mid')

 , , 3c6.1, 0:18:09.9814, 79.18.49.1584
s0c208, POINT, 3c6.1, 0:16:29.679, 79.16.34.13, 0.1319199, [-0.7], false, 57716192.61654488, 0.0, 0.0, 0.0
s0c209, POINT, 3c6.1, 0:16:28.962, 79.16.34.13, 0.2850837, [-0.7], false, 57716192.61654488, 0.0, 0.0, 0.0
s0c210, POINT, 3c6.1, 0:16:29.679, 79.16.36.13, 1.514712, [-0.7], false, 57716192.61654488, 0.0, 0.0, 0.0
s0c211, POINT, 3c6.1, 0:16:28.962, 79.16.36.13, 0.7075058, [-0.7], false, 57716192.61654488, 0.0, 0.0, 0.0
s0c212, POINT, 3c6.1, 0:16:32.545, 79.16.38.13, 0.3371302, [-0.7], false, 57716192.61654488, 0.0, 0.0, 0.0
s0c213, POINT, 3c6.1, 0:16:29.679, 79.16.38.13, 3.780741, [-0.7], false, 57716192.61654488, 0.0, 0.0, 0.0
s0c214, POINT, 3c6.1, 0:16:32.545, 79.16.40.13, 0.1755349, [-0.7], false, 57716192.61654488, 0.0, 0.0, 0.0
s0c215, POINT, 3c6.1, 0:16:30.395, 79.16.40.13, 3.567133, [-0.7], false, 57716192.61654488, 0.0, 0.0, 0.0
