FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57726440.75330608', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-11-29 21:56:55: LOAD (from file 'img/img-3c33.1-final-sources.txt')
# 2024-11-29 21:56:55: GROUP (algorithm = 'single')
# 2024-11-29 21:56:55: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 21:56:55: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 21:56:56: GROUP (algorithm = 'meanshift')
# 2024-11-29 21:56:56: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 21:56:56: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 21:56:56: FILTER (Patch = Patch_13 None)
# 2024-11-29 21:56:56: SETPATCHPOSITIONS (method = 'mid')

 , , 3c33.1, 1:09:37.5849, 73.11.42.3260
s0c147, POINT, 3c33.1, 1:09:20.322, 73.10.21.243, 0.3036161, [-0.7], false, 57726440.75330608, 0.0, 0.0, 0.0
s0c148, POINT, 3c33.1, 1:09:20.321, 73.10.23.243, 0.1069886, [-0.7], false, 57726440.75330608, 0.0, 0.0, 0.0
s0c149, POINT, 3c33.1, 1:09:20.781, 73.10.25.247, 0.06305835, [-0.7], false, 57726440.75330608, 0.0, 0.0, 0.0
s0c150, POINT, 3c33.1, 1:09:21.241, 73.10.27.25, 0.2303626, [-0.7], false, 57726440.75330608, 0.0, 0.0, 0.0
s0c151, POINT, 3c33.1, 1:09:23.082, 73.10.31.262, 0.1886262, [-0.7], false, 57726440.75330608, 0.0, 0.0, 0.0
s0c152, POINT, 3c33.1, 1:09:22.621, 73.10.33.259, -0.0844763, [-0.7], false, 57726440.75330608, 0.0, 0.0, 0.0
s0c153, POINT, 3c33.1, 1:09:17.552, 73.10.35.222, 0.1423937, [-0.7], false, 57726440.75330608, 0.0, 0.0, 0.0
s0c154, POINT, 3c33.1, 1:09:17.091, 73.10.37.218, 0.1555374, [-0.7], false, 57726440.75330608, 0.0, 0.0, 0.0
