FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57729364.25898942', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-11-29 23:09:10: LOAD (from file 'img/img-3c49-final-sources.txt')
# 2024-11-29 23:09:10: GROUP (algorithm = 'single')
# 2024-11-29 23:09:10: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:09:10: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:09:10: GROUP (algorithm = 'meanshift')
# 2024-11-29 23:09:10: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:09:10: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 23:09:10: FILTER (Patch = Patch_9 None)
# 2024-11-29 23:09:10: SETPATCHPOSITIONS (method = 'mid')

 , , 3c49, 1:41:18.7844, 13.54.10.6081
s0c166, POINT, 3c49, 1:40:56.268, 13.43.28.598, 0.02628933, [-0.7], false, 57729364.25898942, 0.0, 0.0, 0.0
s0c167, POINT, 3c49, 1:40:56.131, 13.43.28.598, 0.03631867, [-0.7], false, 57729364.25898942, 0.0, 0.0, 0.0
s0c168, POINT, 3c49, 1:40:56.268, 13.43.30.598, 0.06459174, [-0.7], false, 57729364.25898942, 0.0, 0.0, 0.0
s0c169, POINT, 3c49, 1:40:56.131, 13.43.30.598, 0.0137597, [-0.7], false, 57729364.25898942, 0.0, 0.0, 0.0
s0c170, POINT, 3c49, 1:40:57.229, 13.43.38.601, 0.01157123, [-0.7], false, 57729364.25898942, 0.0, 0.0, 0.0
s0c171, POINT, 3c49, 1:40:57.503, 13.43.40.602, 0.01251147, [-0.7], false, 57729364.25898942, 0.0, 0.0, 0.0
s0c172, POINT, 3c49, 1:40:57.366, 13.43.40.601, 0.006703226, [-0.7], false, 57729364.25898942, 0.0, 0.0, 0.0
s0c174, POINT, 3c49, 1:40:57.366, 13.43.54.602, 0.04722596, [-0.7], false, 57729364.25898942, 0.0, 0.0, 0.0
