FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57716560.53183706', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-11-29 22:51:29: LOAD (from file 'img/img-3c454-final-sources.txt')
# 2024-11-29 22:51:29: GROUP (algorithm = 'single')
# 2024-11-29 22:51:29: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 22:51:29: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 22:51:30: GROUP (algorithm = 'meanshift')
# 2024-11-29 22:51:30: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 22:51:30: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 22:51:30: FILTER (Patch = Patch_13 None)
# 2024-11-29 22:51:30: SETPATCHPOSITIONS (method = 'mid')

 , , 3c454, 22:51:24.3887, 18.51.22.4728
s0c192, POINT, 3c454, 22:50:42.35, 18.45.31.363, 0.03338348, [-0.7], false, 57716560.53183706, 0.0, 0.0, 0.0
s0c193, POINT, 3c454, 22:50:42.21, 18.45.31.361, 0.01480974, [-0.7], false, 57716560.53183706, 0.0, 0.0, 0.0
s0c194, POINT, 3c454, 22:51:04.876, 18.47.03.672, 0.06970701, [-0.7], false, 57716560.53183706, 0.0, 0.0, 0.0
s0c195, POINT, 3c454, 22:51:34.451, 18.48.27.82, 0.08656047, [-0.7], false, 57716560.53183706, 0.0, 0.0, 0.0
s0c196, POINT, 3c454, 22:51:34.451, 18.48.29.82, 0.09674586, [-0.7], false, 57716560.53183706, 0.0, 0.0, 0.0
s0c197, POINT, 3c454, 22:51:35.719, 18.48.31.82, 0.1465371, [-0.7], false, 57716560.53183706, 0.0, 0.0, 0.0
s0c198, POINT, 3c454, 22:51:35.578, 18.48.31.82, 0.02607385, [-0.7], false, 57716560.53183706, 0.0, 0.0, 0.0
s0c199, POINT, 3c454, 22:51:34.592, 18.48.31.82, 0.08707146, [-0.7], false, 57716560.53183706, 0.0, 0.0, 0.0
