FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57719560.67483314', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-11-29 22:07:04: LOAD (from file 'img/img-3c34-final-sources.txt')
# 2024-11-29 22:07:04: GROUP (algorithm = 'single')
# 2024-11-29 22:07:04: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 22:07:04: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 22:07:05: GROUP (algorithm = 'meanshift')
# 2024-11-29 22:07:05: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 22:07:05: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 22:07:05: FILTER (Patch = Patch_22 None)
# 2024-11-29 22:07:05: SETPATCHPOSITIONS (method = 'mid')

 , , 3c34, 1:10:39.0022, 31.46.31.6178
s0c161, POINT, 3c34, 1:10:15.401, 31.40.19.717, 0.06999556, [-0.7], false, 57719560.67483314, 0.0, 0.0, 0.0
s0c225, POINT, 3c34, 1:10:18.848, 31.47.03.72, 0.4476109, [-0.7], false, 57719560.67483314, 0.0, 0.0, 0.0
s0c226, POINT, 3c34, 1:10:18.691, 31.47.03.72, 0.2850469, [-0.7], false, 57719560.67483314, 0.0, 0.0, 0.0
s0c227, POINT, 3c34, 1:10:18.691, 31.47.05.72, -0.2870728, [-0.7], false, 57719560.67483314, 0.0, 0.0, 0.0
s0c228, POINT, 3c34, 1:10:18.377, 31.47.09.72, 0.0167906, [-0.7], false, 57719560.67483314, 0.0, 0.0, 0.0
s0c229, POINT, 3c34, 1:10:17.593, 31.47.09.72, 0.2595878, [-0.7], false, 57719560.67483314, 0.0, 0.0, 0.0
s0c230, POINT, 3c34, 1:10:19.005, 31.47.11.72, 0.07005421, [-0.7], false, 57719560.67483314, 0.0, 0.0, 0.0
s0c231, POINT, 3c34, 1:10:18.534, 31.47.11.72, 0.6765425, [-0.7], false, 57719560.67483314, 0.0, 0.0, 0.0
