FORMAT = Name, Type, Patch, Ra, Dec, I, SpectralIndex='[]', LogarithmicSI, ReferenceFrequency='57700078.73269077', MajorAxis, MinorAxis, Orientation

# LSMTool history:
# 2024-11-29 20:41:57: LOAD (from file 'img/img-3c268.3-final-sources.txt')
# 2024-11-29 20:41:57: GROUP (algorithm = 'single')
# 2024-11-29 20:41:57: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 20:41:57: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 20:41:57: GROUP (algorithm = 'meanshift')
# 2024-11-29 20:41:57: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 20:41:58: SETPATCHPOSITIONS (method = 'mid')
# 2024-11-29 20:41:58: FILTER (Patch = Patch_17 None)
# 2024-11-29 20:41:58: SETPATCHPOSITIONS (method = 'mid')

 , , 3c268.3, 12:06:51.3596, 64.08.43.3579
s0c325, POINT, 3c268.3, 12:07:14.444, 64.03.39.979, 0.01016019, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c326, POINT, 3c268.3, 12:07:14.14, 64.03.41.985, 0.02545478, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c344, POINT, 3c268.3, 12:07:19.588, 64.11.47.867, 0.03011816, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c345, POINT, 3c268.3, 12:07:18.673, 64.11.53.889, 0.007455699, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c346, POINT, 3c268.3, 12:07:18.366, 64.11.53.896, 0.02643655, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c347, POINT, 3c268.3, 12:07:16.222, 64.11.53.944, 0.0371177, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c348, POINT, 3c268.3, 12:07:18.061, 64.11.55.903, 0.03802859, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c349, POINT, 3c268.3, 12:07:17.755, 64.11.55.91, 0.03966553, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c350, POINT, 3c268.3, 12:07:17.756, 64.11.57.91, 0.1154705, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c351, POINT, 3c268.3, 12:07:17.449, 64.11.57.916, 0.01556547, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c352, POINT, 3c268.3, 12:07:19.288, 64.11.59.874, 0.02003389, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c353, POINT, 3c268.3, 12:07:17.45, 64.11.59.916, 0.006916157, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c356, POINT, 3c268.3, 12:07:17.451, 64.12.01.916, 0.01550699, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c376, POINT, 3c268.3, 12:06:24.758, 64.13.32.51, 0.0408965, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c377, POINT, 3c268.3, 12:06:25.371, 64.13.34.51, 0.3868529, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c378, POINT, 3c268.3, 12:06:25.065, 64.13.34.51, 0.1197323, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c379, POINT, 3c268.3, 12:06:25.065, 64.13.36.51, 0.06692795, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c380, POINT, 3c268.3, 12:06:24.758, 64.13.36.51, 0.07723729, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c381, POINT, 3c268.3, 12:06:24.451, 64.13.38.51, 13.84458, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c382, POINT, 3c268.3, 12:06:24.145, 64.13.38.51, 0.6056836, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c383, POINT, 3c268.3, 12:06:24.145, 64.13.40.51, 2.557523, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c384, POINT, 3c268.3, 12:06:23.838, 64.13.40.51, 0.3692597, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c385, POINT, 3c268.3, 12:06:23.531, 64.13.40.51, 0.08193014, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c386, POINT, 3c268.3, 12:06:23.225, 64.13.40.509, 0.04900818, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c387, POINT, 3c268.3, 12:06:24.145, 64.13.42.51, 0.03162821, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c388, POINT, 3c268.3, 12:06:23.838, 64.13.42.51, 0.02300395, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c389, POINT, 3c268.3, 12:06:23.531, 64.13.42.51, 0.02344103, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c390, POINT, 3c268.3, 12:06:25.371, 64.13.44.51, 0.07835464, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c391, POINT, 3c268.3, 12:06:25.065, 64.13.44.51, 0.01785645, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c392, POINT, 3c268.3, 12:06:23.531, 64.13.44.51, 0.02293444, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
s0c393, POINT, 3c268.3, 12:06:25.065, 64.13.46.51, 0.08625318, [-0.7], false, 57700078.73269077, 0.0, 0.0, 0.0
