#
# ControlInfo needed for SAS
#
# $Id: $
#
# Name	IPaddress	MACaddress
#------------------------------------------
MCU001	10.144.0.2	00:30:48:2d:00:f6
SAS001	10.144.0.3	00:30:48:79:1c:f4
SHM001	10.144.0.1	00:30:48:2d:22:bc
